name,id,price,type,date
Snack Bắp vị phô mai,B031,6000,VNPAY,2023-06-12 12:21:58.681000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,VNPAY,2023-06-12 12:21:29.850000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,VNPAY,2023-06-12 12:21:00.454000
Snack Tôm Cay ,B028,6000,VNPAY,2023-06-12 12:20:31.102000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,VNPAY,2023-06-12 12:19:06.498000
Snack Tôm Cay ,B028,6000,VNPAY,2023-06-12 12:18:34.449000
Sting dâu lon,N000034,15000,VNPAY,2023-06-12 11:57:21.434000
ICE Đào,N029,12000,MOMO,2023-06-12 08:23:47.534000
Bánh chocopie,DA008,5000,CASH_AT_MACHINE,2023-06-12 08:16:05.570000
Bánh chocopie,DA008,5000,CASH_AT_MACHINE,2023-06-12 08:15:49.759000
Bánh trứng Custas ,DA010,5000,CASH_AT_MACHINE,2023-06-12 08:15:18.083000
Nước gạo rang TH,N00035,15000,CASH_AT_MACHINE,2023-06-12 08:14:50.978000
Cozy trà đào sả,N0011,12000,CASH_AT_MACHINE,2023-06-12 08:01:42.710000
Nước gạo rang TH,N00035,15000,CASH_AT_MACHINE,2023-06-12 07:22:05.412000
Trà xanh 0 độ,N00034,15000,CASH_AT_MACHINE,2023-06-11 18:33:31.002000
Nước thạch Gumi vị vải,N038,15000,VNPAY,2023-06-11 17:10:55.662000
Nước suối Aquafina 500ml,N002,10000,CASH_AT_MACHINE,2023-06-11 16:38:21.182000
Snack Tôm Cay ,B028,6000,MOMO,2023-06-11 14:41:42.901000
Nescafe Cafe sữa đá 200ml,N027,15000,MOMO,2023-06-11 14:41:09.613000
Nescafe Cafe sữa đá 200ml,N027,15000,VNPAY,2023-06-11 14:14:54.194000
Bánh trứng Custas ,DA010,5000,VNPAY,2023-06-11 14:14:09.307000
Milo 180ml sữa hộp,N018,10000,CASH_AT_MACHINE,2023-06-11 12:04:53.719000
Milo 180ml sữa hộp,N018,10000,CASH_AT_MACHINE,2023-06-11 10:41:05.119000
Nước suối Aquafina 500ml,N002,10000,CASH_AT_MACHINE,2023-06-11 09:39:00.758000
Sữa đậu nành vị đậu đỏ,SD0016,7000,MOMO,2023-06-11 03:38:08.068000
Milo 180ml sữa hộp,N018,10000,VNPAY,2023-06-10 20:26:36.416000
Nước tinh khiết Dasani 500ml,N003,10000,CASH_AT_MACHINE,2023-06-10 19:29:42.342000
Nước ngọt Pet Coca Cola 390ml,N004,10000,CASH_AT_MACHINE,2023-06-10 19:29:21.041000
Snack Bắp vị phô mai,B031,6000,VNPAY,2023-06-10 19:06:03.738000
TH trà xanh,N00033,12000,MOMO,2023-06-10 17:33:22.053000
Trà xanh 0 độ,N00034,15000,VNPAY,2023-06-10 16:59:32.319000
C2 dâu 455ml,N00049,15000,CASH_AT_MACHINE,2023-06-10 16:56:24.527000
Milo 180ml sữa hộp,N018,10000,CASH_AT_MACHINE,2023-06-10 12:24:47.334000
Milo 180ml sữa hộp,N018,10000,CASH_AT_MACHINE,2023-06-10 12:24:07.286000
Bánh que cam Stck Biscuit,B034,7000,CASH_AT_MACHINE,2023-06-10 11:24:17.923000
Nước ngọt Pet Coca Cola 390ml,N004,10000,CASH_AT_MACHINE,2023-06-10 11:24:01.916000
Bánh trứng sữa mềm Belgi,B0060,5000,CASH_AT_MACHINE,2023-06-10 08:31:40.510000
Bánh trứng sữa mềm Belgi vị truyền thống,B040,5000,CASH_AT_MACHINE,2023-06-10 08:30:14.288000
Coco Dừa xiêm,N101,20000,CASH_AT_MACHINE,2023-06-10 08:29:39.940000
Nước tinh khiết Dasani 500ml,N003,10000,CASH_AT_MACHINE,2023-06-10 08:28:32.208000
Coco Dừa xiêm,N101,20000,CASH_AT_MACHINE,2023-06-10 08:28:12.741000
Milo 180ml sữa hộp,N018,10000,MOMO,2023-06-10 07:36:58.574000
Cozy tắc mật ong ,B018,12000,VNPAY,2023-06-09 16:57:12.466000
Cozy trà đào sả,N0011,12000,VNPAY,2023-06-09 16:56:08.459000
Nước tinh khiết Dasani 500ml,N003,10000,CASH_AT_MACHINE,2023-06-09 16:29:56.575000
Xúc xích CP bò ,B011,20000,CASH_AT_MACHINE,2023-06-09 16:29:29.379000
ICE Đào,N029,12000,MOMO,2023-06-09 15:48:31.695000
Cozy tắc mật ong ,B018,12000,VNPAY,2023-06-09 14:55:51.987000
Snack Phomai ,B0076,6000,MOMO,2023-06-09 14:32:19.495000
Snack Phomai ,B0076,6000,MOMO,2023-06-09 14:31:53.896000
Snack Cà Chua,B027,6000,MOMO,2023-06-09 14:31:14.094000
Cozy tắc mật ong ,B018,12000,MOMO,2023-06-09 13:14:20.737000
Nước ngọt Pet Coca Cola 390ml,N004,10000,CASH_AT_MACHINE,2023-06-09 11:59:40.121000
Trà sữa TeaBreak,N109,15000,CASH_AT_MACHINE,2023-06-09 11:59:10.091000
Milo 180ml sữa hộp,N018,10000,CASH_AT_MACHINE,2023-06-09 10:17:55.084000
Coco Dừa xiêm,N101,20000,VNPAY,2023-06-09 09:39:56.625000
Goodmood vị sữa chua,N108,12000,CASH_AT_MACHINE,2023-06-09 09:19:22.232000
Nước tăng lực Sting vàng lon 320ml,N010,15000,MOMO,2023-06-09 08:03:31.307000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,VNPAY,2023-06-09 07:47:12.113000
Coco Dừa xiêm,N101,20000,MOMO,2023-06-09 07:46:24.855000
Sữa đậu nành vị đậu đỏ,SD0016,7000,MOMO,2023-06-09 01:19:10.921000
Nước thạch Gumi vị nho,N039,15000,VNPAY,2023-06-08 22:39:03.985000
Cozy trà đào sả,N0011,12000,VNPAY,2023-06-08 22:38:11.453000
Milo 180ml sữa hộp,N018,10000,VNPAY,2023-06-08 22:36:53.477000
Milo 180ml sữa hộp,N018,10000,CASH_AT_MACHINE,2023-06-08 21:14:02.140000
Xúc xích CP heo,B009,20000,CASH_AT_MACHINE,2023-06-08 17:33:01.530000
Wake up 247,N00038,15000,CASH_AT_MACHINE,2023-06-08 17:32:44.107000
Trà xanh 0 độ,N00034,15000,CASH_AT_MACHINE,2023-06-08 17:32:28.033000
Xúc xích CP heo,B009,20000,CASH_AT_MACHINE,2023-06-08 16:45:03.790000
Bánh que cam Stck Biscuit,B034,7000,CASH_AT_MACHINE,2023-06-08 16:18:37.046000
Bánh que cam Stck Biscuit,B034,7000,CASH_AT_MACHINE,2023-06-08 16:18:06.753000
Snack Bắp vị phô mai,B031,6000,CASH_AT_MACHINE,2023-06-08 16:17:33.503000
Nước lọc lavie 500ml,N001,10000,CASH_AT_MACHINE,2023-06-08 15:47:35.506000
Sting dâu lon,N000034,15000,VNPAY,2023-06-08 15:18:31.062000
Sữa đậu nành vị đậu đỏ,SD0016,7000,MOMO,2023-06-08 15:09:20.404000
